# G0-4 ranked construct table (fm-or4).  weight = corpus occurrences whose string contains the construct;
# uses = occurrence-weighted total uses; strings = distinct strings containing it; pct = weight/total_occurrences.
# tier: T1 = fmd-math tier 1 (§11.4 seed ∪ rank extension to ≥99.5% string-mass coverage); origin: seed|rank.
rank	construct	kind	weight	uses	strings	pct	tier	origin
1	script:sup	structural	1928	2899	1407	10.886	T1	seed
2	script:sub	structural	1245	2118	950	7.030	T1	seed
3	\\	control-symbol	1070	1321	1032	6.041	T1	seed
4	math-island	structural	778	944	712	4.393	T1	seed
5	\over	control-word	760	852	430	4.291	T1	seed
6	\text	control-word	734	888	644	4.144	T1	seed
7	\frac	control-word	693	834	529	3.913	T1	seed
8	\pi	control-word	518	582	351	2.925	T1	seed
9	\cdot	control-word	509	629	294	2.874	T1	seed
10	\right	control-word	298	366	229	1.683	T1	seed
11	\left	control-word	294	363	229	1.660	T1	seed
12	\sqrt	control-word	287	331	235	1.620	T1	seed
13	\theta	control-word	270	301	153	1.524	T1	seed
14	\,	control-symbol	257	358	177	1.451	T1	seed
15	\times	control-word	209	220	89	1.180	T1	seed
16	\sin	control-word	201	210	147	1.135	T1	seed
17	\cdots	control-word	199	218	110	1.124	T1	seed
18	\textbf	control-word	194	260	128	1.095	T1	seed
19	\dots	control-word	181	190	101	1.022	T1	seed
20	\approx	control-word	176	178	103	0.994	T1	seed
21	\cos	control-word	160	165	116	0.903	T1	seed
22	\big	control-word	156	221	83	0.881	T1	seed
23	\int	control-word	152	163	118	0.858	T1	seed
24	\vec	control-word	147	208	86	0.830	T1	seed
25	\infty	control-word	140	189	112	0.790	T1	seed
26	\partial	control-word	112	159	76	0.632	T1	seed
27	\vdots	control-word	111	116	8	0.627	T1	seed
28	alignment-tab	structural	108	245	98	0.610	T1	seed
29	\%	control-symbol	106	116	85	0.598	T1	seed
30	\sum	control-word	102	104	92	0.576	T1	seed
31	\rightarrow	control-word	100	101	58	0.565	T1	seed
32	prime	structural	93	163	72	0.525	T1	seed
33	\lambda	control-word	89	139	59	0.503	T1	seed
34	\omega	control-word	89	131	76	0.503	T1	seed
35	\mu	control-word	73	85	55	0.412	T1	seed
36	\rangle	control-word	72	87	48	0.407	T1	seed
37	\#	control-symbol	70	73	64	0.395	T1	seed
38	\sigma	control-word	69	109	60	0.390	T1	seed
39	\quad	control-word	60	77	57	0.339	T1	seed
40	\Delta	control-word	59	78	44	0.333	T1	seed
41	\log	control-word	58	82	51	0.327	T1	seed
42	\circ	control-word	57	62	44	0.322	T1	seed
43	\mathcal	control-word	56	61	39	0.316	T1	seed
44	\to	control-word	56	56	42	0.316	T1	seed
45	\alpha	control-word	52	53	33	0.294	T1	seed
46	\zeta	control-word	49	93	39	0.277	T1	seed
47	\Rightarrow	control-word	47	48	21	0.265	T1	seed
48	\le	control-word	44	48	33	0.248	T1	seed
49	\emph	control-word	41	41	40	0.231	T1	seed
50	\hat	control-word	41	62	33	0.231	T1	seed
51	env:array	environment	40	60	38	0.226	T1	seed
52	\pm	control-word	39	41	31	0.220	T1	seed
53	\!	control-symbol	38	57	25	0.215	T1	seed
54	\Big	control-word	38	73	26	0.215	T1	seed
55	\mathds	control-word	38	57	34	0.215	T1	rank
56	\Leftrightarrow	control-word	37	37	15	0.209	T1	seed
57	\minus	control-word	36	47	36	0.203	T1	rank
58	\{	control-symbol	36	44	35	0.203	T1	seed
59	\}	control-symbol	36	44	35	0.203	T1	seed
60	\nabla	control-word	35	35	24	0.198	T1	seed
61	\Downarrow	control-word	33	33	1	0.186	T1	seed
62	\$	control-symbol	32	37	18	0.181	T1	seed
63	\ln	control-word	31	34	25	0.175	T1	seed
64	\checkmark	control-word	30	30	3	0.169	T1	rank
65	\lim	control-word	30	30	17	0.169	T1	seed
66	\underbrace	control-word	29	29	17	0.164	T1	seed
67	\ne	control-word	27	27	15	0.152	T1	seed
68	\leftrightarrow	control-word	25	25	13	0.141	T1	seed
69	\choose	control-word	24	29	19	0.136	T1	seed
70	\in	control-word	23	24	21	0.130	T1	seed
71	\beta	control-word	21	22	13	0.119	T1	seed
72	\det	control-word	21	21	12	0.119	T1	seed
73	\qquad	control-word	20	34	20	0.113	T1	seed
74	\sim	control-word	20	20	15	0.113	T1	seed
75	\uparrow	control-word	20	23	9	0.113	T1	seed
76	\dfrac	control-word	19	21	18	0.107	T1	seed
77	\tan	control-word	19	19	13	0.107	T1	seed
78	\displaystyle	control-word	18	18	16	0.102	T1	seed
79	\epsilon	control-word	18	20	12	0.102	T1	seed
80	\phi	control-word	18	18	14	0.102	T1	seed
81	\delta	control-word	17	18	11	0.096	T1	seed
82	\tau	control-word	17	18	16	0.096	T1	seed
83	\dot	control-word	16	16	15	0.090	T1	seed
84	\downarrow	control-word	16	16	8	0.090	T1	seed
85	\neg	control-word	15	19	13	0.085	T1	seed
86	\centering	control-word	13	13	13	0.073	T2	rank
87	\langle	control-word	13	13	10	0.073	T1	seed
88	\longrightarrow	control-word	13	16	5	0.073	T1	seed
89	\;	control-symbol	12	16	12	0.068	T1	seed
90	\Updownarrow	control-word	12	12	1	0.068	T1	seed
91	\gamma	control-word	12	12	10	0.068	T1	seed
92	\mathbf	control-word	11	20	10	0.062	T1	seed
93	\psi	control-word	11	14	7	0.062	T1	seed
94	\phantom	control-word	10	12	10	0.056	T1	seed
95	\varphi	control-word	10	15	9	0.056	T1	seed
96	\ 	control-symbol	9	13	8	0.051	T1	seed
97	\arctan	control-word	9	12	7	0.051	T1	seed
98	\ddot	control-word	9	9	8	0.051	T1	seed
99	env:flushleft	environment	8	8	8	0.045	T2	rank
100	\chi	control-word	7	8	5	0.040	T1	seed
101	\ge	control-word	7	7	7	0.040	T1	seed
102	\imath	control-word	7	7	6	0.040	T1	seed
103	\jmath	control-word	7	7	6	0.040	T1	seed
104	\overrightarrow	control-word	7	7	7	0.040	T1	seed
105	\perp	control-word	7	7	3	0.040	T1	seed
106	\propto	control-word	7	7	4	0.040	T1	seed
107	\underline	control-word	7	7	7	0.040	T1	seed
108	\Longrightarrow	control-word	6	6	1	0.034	T1	seed
109	\equiv	control-word	6	6	5	0.034	T1	seed
110	\female	control-word	6	6	3	0.034	T2	rank
111	\leftarrow	control-word	6	6	5	0.034	T1	seed
112	\max	control-word	6	6	6	0.034	T1	seed
113	\overline	control-word	6	11	6	0.034	T1	seed
114	\small	control-word	6	6	5	0.034	T2	rank
115	\updownarrow	control-word	6	6	1	0.034	T1	seed
116	\&	control-symbol	5	5	5	0.028	T1	seed
117	\Large	control-word	5	5	5	0.028	T2	rank
118	\ddots	control-word	5	5	2	0.028	T1	seed
119	\mathrm	control-word	5	14	5	0.028	T1	seed
120	\mod	control-word	5	5	5	0.028	T1	seed
121	\oplus	control-word	5	5	2	0.028	T1	seed
122	\rho	control-word	5	6	5	0.028	T1	seed
123	\substack	control-word	5	5	5	0.028	T2	rank
124	\xi	control-word	5	8	3	0.028	T1	seed
125	\hbar	control-word	4	4	4	0.023	T1	seed
126	\lceil	control-word	4	4	4	0.023	T1	seed
127	\ldots	control-word	4	4	4	0.023	T1	seed
128	\male	control-word	4	4	3	0.023	T2	rank
129	\mid	control-word	4	4	3	0.023	T1	seed
130	\neq	control-word	4	4	1	0.023	T1	seed
131	\prod	control-word	4	4	3	0.023	T1	seed
132	\rceil	control-word	4	4	4	0.023	T1	seed
133	env:align*	environment	4	4	4	0.023	T1	seed
134	tie	structural	4	7	4	0.023	T1	seed
135	\Lambda	control-word	3	4	3	0.017	T1	seed
136	\i	control-word	3	3	2	0.017	T2	rank
137	\j	control-word	3	3	2	0.017	T2	rank
138	\leq	control-word	3	3	3	0.017	T1	seed
139	\nearrow	control-word	3	3	3	0.017	T1	seed
140	\overset	control-word	3	3	1	0.017	T1	seed
141	\tilde	control-word	3	10	3	0.017	T1	seed
142	\'	control-symbol	2	2	2	0.011	T2	rank
143	\Gamma	control-word	2	2	2	0.011	T1	seed
144	\Sigma	control-word	2	2	1	0.011	T1	seed
145	\_	control-symbol	2	3	2	0.011	T1	seed
146	\circlearrowright	control-word	2	2	2	0.011	T2	rank
147	\dddot	control-word	2	2	2	0.011	T2	rank
148	\ding	control-word	2	2	2	0.011	T2	rank
149	\ell	control-word	2	2	1	0.011	T1	seed
150	\geq	control-word	2	2	2	0.011	T1	seed
151	\gg	control-word	2	2	2	0.011	T1	seed
152	\hdots	control-word	2	2	1	0.011	T1	seed
153	\longleftarrow	control-word	2	2	1	0.011	T1	seed
154	\longleftrightarrow	control-word	2	2	1	0.011	T1	seed
155	\nmid	control-word	2	2	2	0.011	T2	rank
156	\odot	control-word	2	2	2	0.011	T1	seed
157	\sec	control-word	2	2	2	0.011	T1	seed
158	\varepsilon	control-word	2	2	2	0.011	T1	seed
159	\wp	control-word	2	2	2	0.011	T1	seed
160	char:U+00F6	unicode-char	2	2	2	0.011	T2	rank
161	char:U+2019	unicode-char	2	3	2	0.011	T2	rank
162	env:cases	environment	2	2	2	0.011	T1	seed
163	\"	control-symbol	1	1	1	0.006	T2	rank
164	\Leftarrow	control-word	1	1	1	0.006	T1	seed
165	\Uparrow	control-word	1	1	1	0.006	T1	seed
166	\boldsymbol	control-word	1	4	1	0.006	T1	seed
167	\bot	control-word	1	1	1	0.006	T1	seed
168	\circlearrowleft	control-word	1	1	1	0.006	T2	rank
169	\cong	control-word	1	1	1	0.006	T1	seed
170	\copyright	control-word	1	1	1	0.006	T2	rank
171	\cosh	control-word	1	1	1	0.006	T1	seed
172	\csc	control-word	1	1	1	0.006	T1	seed
173	\ddddot	control-word	1	1	1	0.006	T2	rank
174	\doublespacing	control-word	1	1	1	0.006	T2	rank
175	\dx	control-word	1	1	1	0.006	T2	rank
176	\earth	control-word	1	1	1	0.006	T2	rank
177	\emptyset	control-word	1	4	1	0.006	T1	seed
178	\eta	control-word	1	1	1	0.006	T1	seed
179	\exists	control-word	1	1	1	0.006	T1	seed
180	\footnotesize	control-word	1	1	1	0.006	T2	rank
181	\forall	control-word	1	1	1	0.006	T1	seed
182	\huge	control-word	1	1	1	0.006	T2	rank
183	\iiint	control-word	1	1	1	0.006	T1	seed
184	\iota	control-word	1	1	1	0.006	T1	seed
185	\large	control-word	1	1	1	0.006	T2	rank
186	\lfloor	control-word	1	1	1	0.006	T1	seed
187	\ll	control-word	1	1	1	0.006	T1	seed
188	\mars	control-word	1	1	1	0.006	T2	rank
189	\mathbb	control-word	1	2	1	0.006	T1	seed
190	\min	control-word	1	1	1	0.006	T1	seed
191	\nwarrow	control-word	1	1	1	0.006	T1	seed
192	\oiint	control-word	1	1	1	0.006	T2	rank
193	\overbrace	control-word	1	1	1	0.006	T1	seed
194	\rfloor	control-word	1	1	1	0.006	T1	seed
195	\simeq	control-word	1	1	1	0.006	T1	seed
196	\subset	control-word	1	1	1	0.006	T1	seed
197	\tiny	control-word	1	1	1	0.006	T2	rank
198	\varsigma	control-word	1	1	1	0.006	T1	seed
199	\xmapsto	control-word	1	1	1	0.006	T2	rank
200	\xrightarrow	control-word	1	3	1	0.006	T2	rank
201	char:U+00E4	unicode-char	1	1	1	0.006	T2	rank
202	char:U+00E8	unicode-char	1	1	1	0.006	T2	rank
203	char:U+00F4	unicode-char	1	1	1	0.006	T2	rank
204	char:U+2013	unicode-char	1	1	1	0.006	T2	rank
205	char:U+2018	unicode-char	1	2	1	0.006	T2	rank
206	env:aligned	environment	1	1	1	0.006	T1	seed
